fila,alta_confirmada,fecha_alta_completa,asignaciones_codigo,cambios_codigo,movimientos_departamento,movimientos_ubicacion,regresos_almacen,cambios_fecha_alta,cambios_fecha_baja
9,NO,,0,0,0,1,1,0,0
10,NO,,0,0,0,0,0,0,0
14,NO,,0,0,0,0,0,0,0
15,NO,,0,0,0,0,0,0,0
16,NO,,0,0,0,0,0,0,1
17,NO,,0,0,0,0,0,0,0
21,NO,,0,0,0,1,0,0,0
27,NO,,0,0,0,2,0,0,0
28,NO,,0,0,0,1,1,0,0
29,NO,,0,0,0,1,1,0,0
30,SI,2024-10-04 11:24,1,0,2,1,0,1,0
32,NO,,0,0,0,0,0,0,1
33,NO,,0,0,0,1,0,0,0
34,SI,2024-07-26 12:59,1,0,1,1,0,1,0
35,NO,,0,0,0,0,0,0,0
36,NO,,0,0,0,0,0,0,0
37,NO,,0,0,0,0,0,0,0
38,NO,,0,0,0,0,0,0,0
40,SI,2024-05-08 16:04,1,0,1,1,0,1,0
41,NO,,0,0,0,0,0,0,0
43,NO,,0,0,0,0,0,0,0
44,SI,2024-11-27 09:04,1,0,1,1,0,1,0
46,NO,,0,0,0,1,1,0,0
48,NO,,0,0,0,0,0,0,0
51,NO,,0,0,0,1,1,0,0
53,NO,,0,0,0,1,0,0,0
55,NO,,0,0,0,0,0,0,0
56,NO,,0,0,1,1,0,0,0
57,NO,,0,0,1,1,0,0,0
59,NO,,0,0,0,0,0,0,0
61,NO,,0,0,0,0,0,0,0
63,NO,,0,0,1,1,1,0,1
67,NO,,0,0,0,0,0,0,1
70,NO,,0,0,0,0,0,0,1
71,NO,,0,0,0,0,0,0,0
72,NO,,1,0,0,1,0,1,0
73,NO,,0,0,0,2,0,0,0
74,NO,,0,0,0,0,0,0,0
75,NO,,0,0,0,1,0,0,0
76,SI,2025-01-22 08:59,1,0,1,2,0,1,0
77,SI,2025-01-22 08:59,1,0,1,2,0,1,0
78,SI,2025-04-01 15:03,1,0,1,1,0,1,0
80,NO,,0,0,0,1,0,0,0
81,NO,,1,0,1,2,0,1,0
82,NO,,1,0,3,2,0,0,0
83,NO,,0,0,0,1,0,0,0
84,NO,,0,0,0,1,0,0,0
85,NO,,0,0,0,1,0,0,0
86,NO,,0,0,0,0,0,0,0
87,NO,,0,0,0,1,0,0,0
88,NO,,0,0,0,1,0,0,0
89,NO,,0,0,0,1,0,0,0
90,NO,,0,0,0,1,0,0,0
91,NO,,0,0,0,1,0,0,0
93,NO,,0,0,0,1,0,0,0
94,NO,,0,0,0,1,0,0,0
95,NO,,0,0,0,1,0,0,0
96,NO,,0,0,0,0,0,0,0
99,NO,,1,0,1,4,1,1,0
100,NO,,0,0,0,2,0,0,0
101,NO,,0,0,0,1,0,0,0
103,NO,,0,0,0,1,0,0,0
105,NO,,0,0,0,0,0,0,0
106,NO,,0,0,0,0,0,0,0
107,NO,,0,0,0,0,0,0,0
111,NO,,0,0,0,0,0,0,0
112,NO,,0,0,0,0,0,0,1
113,NO,,0,0,0,1,1,0,0
115,NO,,0,0,0,0,0,0,0
117,NO,,0,0,0,1,1,0,0
119,NO,,0,0,0,1,1,0,0
120,NO,,0,0,0,2,0,0,0
121,NO,,0,0,1,0,0,0,0
122,NO,,0,0,0,1,0,0,0
124,NO,,0,0,0,0,0,0,0
125,NO,,0,0,0,0,0,0,0
126,NO,,0,0,0,0,0,0,0
127,NO,,0,0,0,0,0,0,2
128,NO,,1,0,1,1,0,1,0
129,NO,,1,0,1,0,0,1,1
130,SI,2025-05-21 09:54,1,0,1,1,0,1,0
131,SI,2025-07-03 11:17,1,0,1,1,0,1,0
132,SI,2025-07-03 14:05,1,0,1,1,1,1,0
134,NO,,0,0,0,1,0,0,0
135,NO,,0,0,0,1,0,0,0
136,NO,,0,0,0,1,0,0,0
137,NO,,0,0,0,1,0,0,0
138,NO,,1,0,1,0,0,1,0
139,NO,,1,0,1,0,0,1,0
140,SI,2025-01-30 14:28,1,0,1,2,0,1,0
141,SI,2024-08-29 09:33,1,0,1,1,0,1,0
142,NO,,0,0,0,1,0,0,0
143,NO,,0,0,0,0,0,0,0
144,NO,,0,0,0,0,0,0,0
145,NO,,0,0,0,0,0,0,0
146,NO,,0,0,0,1,0,0,0
147,NO,,0,0,0,1,0,0,0
148,SI,2024-09-26 08:39,1,0,1,1,1,1,0
149,NO,,0,0,0,1,0,0,0
152,NO,,0,0,0,0,0,0,0
153,NO,,0,0,0,1,1,0,0
154,NO,,0,0,1,0,0,0,0
155,NO,,0,0,0,1,1,0,0
160,NO,,0,0,0,1,0,0,0
161,NO,,0,0,0,1,1,0,0
163,NO,,0,0,0,1,0,0,0
164,NO,,0,0,0,1,0,0,0
165,NO,,0,0,0,2,0,0,0
166,NO,,0,0,0,0,0,0,0
167,NO,,0,0,0,1,0,0,0
168,NO,,0,0,0,1,0,0,0
169,NO,,0,0,0,2,1,0,0
172,NO,,0,0,0,1,0,0,1
173,NO,,0,0,0,1,0,0,0
176,NO,,0,0,0,1,0,0,0
178,NO,,0,0,0,1,0,0,0
179,NO,,0,0,0,1,0,0,0
180,NO,,0,0,0,1,0,0,0
182,NO,,0,0,0,0,0,0,0
188,NO,,0,0,0,0,0,0,0
190,NO,,0,0,0,1,1,0,0
191,NO,,0,0,0,1,0,0,0
194,NO,,0,0,0,0,0,0,1
202,NO,,0,0,0,0,0,0,0
203,NO,,0,0,0,1,0,0,0
204,NO,,0,0,0,1,0,0,0
205,NO,,0,0,0,2,0,0,0
206,NO,,0,0,0,2,0,0,0
207,NO,,0,0,0,1,0,0,0
208,NO,,0,0,0,1,0,0,0
209,NO,,0,0,0,1,0,0,0
210,NO,,0,0,0,1,0,0,0
213,NO,,0,0,0,1,0,0,0
214,NO,,0,0,0,1,0,0,0
215,NO,,0,0,0,2,0,0,0
217,NO,,1,0,1,1,0,1,0
218,NO,,0,0,0,1,0,0,0
220,NO,,0,0,0,1,0,0,1
221,NO,,0,0,0,2,0,0,0
228,NO,,0,0,0,1,0,0,0
229,NO,,0,0,0,2,1,0,0
230,SI,2024-05-31 14:43,1,0,1,1,0,1,0
232,NO,,0,0,0,1,0,0,0
233,NO,,0,0,0,1,0,0,0
234,NO,,0,0,0,1,0,0,0
235,NO,,0,0,0,1,0,0,0
236,NO,,0,0,0,1,0,0,0
237,NO,,0,0,0,0,0,0,0
238,NO,,0,0,0,0,0,0,0
239,NO,,0,0,0,1,0,0,0
240,NO,,0,0,0,2,1,0,0
241,NO,,0,0,0,2,1,0,0
243,NO,,0,0,0,1,0,0,0
244,NO,,0,0,0,0,0,0,1
245,NO,,0,0,0,1,1,0,0
246,NO,,0,0,0,1,1,0,0
247,NO,,0,0,0,2,1,0,0
248,NO,,0,0,0,1,0,0,0
250,NO,,0,0,0,2,0,0,0
251,NO,,0,0,0,1,0,0,0
252,NO,,0,0,0,1,0,0,0
253,NO,,0,0,0,2,0,0,0
255,NO,,0,0,0,1,0,0,0
256,NO,,0,0,0,1,0,0,0
257,NO,,0,0,0,1,0,0,0
261,NO,,0,0,0,1,0,0,0
263,NO,,0,0,0,1,0,0,0
264,NO,,0,0,0,1,0,0,0
266,NO,,0,0,0,0,0,0,0
267,NO,,0,0,0,0,0,0,0
268,NO,,1,0,0,1,0,1,0
269,NO,,1,0,0,0,0,0,0
270,NO,,1,0,0,0,0,0,0
271,NO,,1,0,0,0,0,0,0
272,NO,,0,0,0,1,0,0,0
273,NO,,0,0,0,1,0,0,0
274,NO,,0,0,0,2,0,0,0
275,NO,,0,0,0,2,0,0,0
276,NO,,0,0,0,2,0,0,0
277,NO,,0,0,0,3,0,0,0
278,NO,,0,0,0,2,0,0,0
279,NO,,0,0,0,2,0,0,0
280,NO,,0,0,0,2,0,0,0
281,NO,,0,0,0,2,0,0,0
282,NO,,0,0,0,1,0,0,0
283,NO,,0,0,0,1,0,0,0
284,NO,,0,0,0,0,0,0,0
285,NO,,0,0,0,0,0,0,0
286,NO,,0,0,0,1,1,0,0
287,NO,,0,0,0,1,1,0,0
289,NO,,0,0,0,0,0,0,0
290,NO,,0,0,0,1,1,0,0
293,NO,,0,0,0,1,0,0,1
294,NO,,0,0,0,0,0,0,0
296,NO,,0,0,0,0,0,0,1
297,NO,,0,0,0,2,1,0,0
298,NO,,0,0,0,1,0,0,0
300,NO,,0,0,0,0,0,0,0
301,NO,,0,0,0,0,0,0,0
302,NO,,0,0,0,0,0,0,0
303,NO,,0,0,0,0,0,0,0
304,NO,,0,0,0,0,0,0,0
305,NO,,0,0,0,0,0,0,0
306,NO,,0,0,0,1,0,0,0
307,NO,,0,0,0,1,0,0,0
308,NO,,0,0,0,0,0,0,0
309,NO,,0,0,0,0,0,0,0
313,NO,,0,0,1,0,0,0,0
314,NO,,0,0,0,0,0,0,0
317,NO,,0,0,0,0,0,0,0
318,NO,,0,0,0,1,1,0,0
319,NO,,0,0,0,1,0,0,0
321,NO,,0,0,0,1,0,0,0
322,NO,,0,0,0,0,0,0,0
323,NO,,0,0,0,1,1,0,0
325,NO,,0,0,0,0,0,0,0
326,NO,,0,0,0,1,0,0,0
327,NO,,0,0,0,0,0,0,0
329,NO,,0,0,0,0,0,0,0
330,NO,,0,0,0,0,0,0,0
331,NO,,0,0,0,0,0,0,0
332,NO,,0,0,0,2,2,0,0
333,NO,,0,0,0,1,1,0,0
334,NO,,0,0,0,1,1,0,0
335,NO,,0,0,0,0,0,0,0
336,NO,,0,0,0,0,0,0,0
338,SI,2025-07-07 13:04,1,0,1,1,0,1,0
339,SI,2025-07-07 13:06,1,1,1,1,0,1,0
340,SI,2025-07-07 13:07,1,0,1,1,0,1,1
341,SI,2025-07-07 13:08,1,0,1,1,0,1,0
342,SI,2025-07-07 13:08,2,1,2,1,0,2,0
343,SI,2025-07-07 13:09,2,1,1,1,0,2,0
344,SI,2025-07-07 13:10,1,0,1,2,1,1,0
345,SI,2025-07-07 13:11,1,0,1,1,0,1,0
346,NO,,0,0,0,1,0,0,1
347,NO,,0,0,1,1,0,0,0
348,NO,,0,0,0,0,0,0,1
349,NO,,0,0,1,1,0,0,0
352,NO,,0,0,0,0,0,0,0
353,NO,,0,0,0,0,0,0,1
354,SI,2025-01-22 09:18,1,0,1,1,0,1,0
355,SI,2025-01-22 09:21,1,0,1,1,0,1,1
360,SI,2024-08-06 11:14,1,1,1,1,0,1,0
362,NO,,0,0,0,1,0,0,0
363,NO,,0,0,0,1,0,0,1
364,NO,,0,0,0,0,0,0,0
365,NO,,0,0,0,1,0,0,0
366,NO,,0,0,0,0,0,0,0
367,NO,,0,0,0,0,0,0,0
368,NO,,0,0,0,0,0,0,0
369,NO,,0,0,0,0,0,0,0
370,NO,,0,0,0,0,0,0,0
371,SI,2024-06-25 13:25,1,0,1,1,0,1,0
372,NO,,0,0,0,1,0,0,0
374,NO,,0,0,0,0,0,0,0
375,NO,,0,0,0,0,0,0,0
376,SI,2024-08-08 16:22,1,0,1,2,0,1,0
377,SI,2024-08-08 16:23,1,0,1,1,0,1,0
378,NO,,0,0,0,0,0,0,0
379,NO,,0,0,0,1,0,0,0
382,NO,,0,0,0,1,0,0,0
386,NO,,0,0,0,1,0,0,0
387,NO,,0,0,0,2,0,0,0
388,NO,,0,0,0,1,0,0,1
389,NO,,0,0,0,1,0,0,0
390,NO,,0,0,0,0,0,0,0
391,NO,,0,0,0,0,0,0,1
392,NO,,0,0,0,0,0,0,0
395,NO,,0,0,0,1,0,0,0
396,NO,,0,0,0,0,0,0,0
397,NO,,0,0,0,1,1,0,0
400,NO,,0,0,0,0,0,0,0
401,NO,,0,0,0,0,0,0,0
402,NO,,0,0,0,0,0,0,0
403,NO,,0,0,0,0,0,0,0
404,NO,,0,0,0,0,0,0,0
407,NO,,0,0,0,0,0,0,0
408,NO,,0,0,0,1,1,0,0
409,NO,,0,0,0,1,1,0,0
410,NO,,0,0,0,1,1,0,0
414,NO,,0,0,0,1,1,0,0
416,NO,,0,0,0,1,1,0,0
417,NO,,0,0,0,1,1,0,0
418,NO,,1,0,0,0,0,1,0
419,NO,,1,0,0,1,1,1,0
420,NO,,1,0,0,0,0,1,0
421,NO,,1,0,0,1,1,1,0
422,NO,,1,0,0,1,1,1,0
423,NO,,1,0,0,1,1,1,0
424,NO,,1,0,0,1,1,1,0
425,NO,,1,0,0,1,1,1,1
426,NO,,1,0,0,1,1,1,0
427,NO,,1,0,0,1,1,1,1
428,NO,,0,0,0,1,1,0,0
429,NO,,0,0,0,1,1,0,0
430,NO,,0,0,0,1,1,0,0
431,NO,,0,0,0,1,1,0,0
432,NO,,0,0,0,1,1,0,0
433,NO,,0,0,0,1,1,0,0
434,NO,,0,0,0,1,1,0,0
435,NO,,0,0,0,0,0,0,0
436,NO,,0,0,0,0,0,0,0
437,NO,,0,0,0,0,0,0,0
438,NO,,0,0,0,0,0,0,0
439,NO,,1,0,0,0,0,1,0
440,NO,,0,0,0,0,0,1,0
441,NO,,0,0,0,0,0,1,0
442,NO,,0,0,0,0,0,1,1
443,NO,,0,0,0,0,0,1,1
444,NO,,0,0,0,0,0,1,1
445,NO,,0,0,0,0,0,1,1
446,NO,,0,0,0,0,0,1,1
447,NO,,0,0,0,0,0,1,1
448,NO,,0,0,0,0,0,1,1
449,NO,,0,0,0,0,0,1,1
450,NO,,0,0,0,0,0,1,1
451,NO,,0,0,0,0,0,1,1
452,NO,,0,0,0,0,0,1,1
453,NO,,0,0,0,0,0,1,1
454,NO,,0,0,0,0,0,0,1
455,NO,,0,0,0,0,0,0,1
456,NO,,0,0,0,0,0,0,1
457,NO,,0,0,0,0,0,0,1
458,NO,,0,0,0,0,0,0,1
459,NO,,0,0,0,0,0,0,1
460,NO,,0,0,0,0,0,0,1
461,NO,,0,0,0,0,0,0,1
462,NO,,0,0,0,0,0,0,1
463,NO,,0,0,0,0,0,0,1
464,NO,,1,0,1,1,1,1,1
465,NO,,1,0,0,1,0,1,1
466,NO,,1,1,0,2,0,1,1
467,NO,,1,0,1,1,0,1,0
468,NO,,0,0,0,1,0,0,0
469,NO,,0,0,0,0,0,0,0
470,NO,,0,0,0,1,0,0,0
471,NO,,0,0,1,0,0,0,0
472,NO,,0,0,0,2,1,0,0
473,NO,,0,0,0,1,0,0,0
474,NO,,0,0,0,1,0,0,0
475,NO,,0,0,0,0,0,0,0
476,NO,,0,0,0,0,0,0,1
477,NO,,0,0,0,0,0,0,0
478,NO,,0,0,0,1,0,0,0
482,SI,2025-07-21 11:10,1,0,1,1,1,1,0
483,NO,,1,0,0,0,0,0,0
484,NO,,1,0,0,1,0,0,1
485,NO,,3,2,2,1,0,0,0
486,NO,,1,0,0,0,0,0,0
487,SI,2025-07-21 12:48,2,1,1,1,0,1,1
488,SI,2025-07-21 12:49,3,2,2,3,1,2,0
489,NO,,3,2,2,3,1,2,0
490,NO,,3,2,1,4,2,2,0
491,NO,,2,1,0,1,1,1,0
492,NO,,1,0,0,0,0,0,0
493,NO,,1,0,0,0,0,0,0
494,NO,,1,0,0,1,0,0,0
495,NO,,1,0,0,3,2,0,0
496,NO,,1,0,0,1,0,0,1
497,NO,,1,0,0,0,0,0,0
498,NO,,1,0,0,0,0,0,0
499,NO,,1,0,0,1,0,0,0
500,NO,,1,0,0,2,0,0,0
501,NO,,1,0,0,0,0,0,0
502,NO,,1,0,0,0,0,0,0
503,NO,,1,0,0,0,0,0,0
504,NO,,1,0,0,0,0,0,0
505,NO,,1,0,0,1,0,0,0
506,NO,,1,0,0,1,0,0,0
507,NO,,1,0,1,1,0,0,0
508,NO,,1,0,0,1,0,0,0
509,NO,,1,0,0,0,0,0,0
510,NO,,1,0,0,0,0,0,0
511,NO,,1,0,0,0,0,0,0
512,SI,2025-08-12 15:09,1,0,1,1,0,1,0
513,NO,,0,0,0,1,0,0,0
514,NO,,0,0,0,0,0,0,0
517,NO,,0,0,0,0,0,0,0
518,NO,,0,0,0,0,0,0,0
519,NO,,0,0,0,1,0,0,0
520,NO,,0,0,0,0,0,0,0
521,NO,,0,0,0,1,1,0,0
522,NO,,0,0,0,1,0,0,0
523,NO,,0,0,0,0,0,0,0
524,NO,,0,0,0,0,0,0,0
526,NO,,0,0,0,3,0,0,0
527,NO,,0,0,0,2,0,0,0
528,NO,,0,0,0,2,0,0,0
529,NO,,0,0,0,1,0,0,0
531,NO,,0,0,0,0,0,0,0
533,NO,,0,0,0,0,0,0,1
536,NO,,0,0,0,1,1,0,0
538,NO,,0,0,0,0,0,0,0
539,NO,,0,0,0,0,0,0,1
540,NO,,0,0,0,1,0,0,1
541,NO,,0,0,0,1,1,0,0
543,SI,2025-07-07 13:28,1,0,1,1,0,1,0
546,NO,,0,0,0,1,1,0,0
551,NO,,0,0,0,1,1,0,0
554,NO,,0,0,0,0,0,0,1
555,NO,,1,0,1,1,0,1,0
556,NO,,1,0,1,1,0,1,0
557,NO,,1,0,1,1,0,1,0
558,NO,,1,0,1,1,0,1,0
559,NO,,0,0,0,2,1,0,0
560,NO,,0,0,0,2,0,0,0
561,NO,,0,0,0,1,0,0,0
566,NO,,0,0,1,1,1,0,0
568,SI,2024-04-29 13:43,1,0,2,2,1,1,0
569,SI,2024-04-19 12:56,1,2,2,3,2,1,1
570,NO,,0,0,1,3,2,0,0
571,NO,,0,0,0,1,1,0,0
572,NO,,1,0,1,2,1,1,0
573,NO,,0,0,0,1,1,0,0
574,NO,,0,0,0,2,1,0,0
576,NO,,0,0,0,1,1,0,0
577,NO,,0,0,0,1,1,0,0
578,NO,,0,0,0,1,1,0,0
580,NO,,0,0,0,2,2,0,0
581,NO,,0,0,0,1,0,0,0
583,NO,,0,0,0,0,0,0,0
584,NO,,0,0,0,0,0,0,0
585,NO,,0,0,0,0,0,0,0
586,NO,,0,0,0,1,1,0,0
587,NO,,0,0,0,1,1,0,0
588,NO,,0,0,0,1,1,0,0
589,NO,,0,0,0,1,1,0,0
590,NO,,0,0,0,1,1,0,0
591,NO,,0,0,0,1,1,0,0
592,NO,,0,0,0,1,1,0,0
593,NO,,0,0,0,1,1,0,0
594,NO,,0,0,0,1,1,0,0
595,NO,,0,0,0,1,1,0,0
596,NO,,0,0,0,1,0,0,0
599,NO,,0,0,0,1,0,0,0
600,NO,,0,0,1,1,1,0,0
602,NO,,0,0,0,0,0,0,1
605,NO,,0,0,0,0,0,0,0
607,NO,,1,0,1,2,1,1,0
608,NO,,0,0,0,1,0,0,0
610,SI,2024-08-29 09:18,1,0,1,2,0,1,0
611,SI,2024-08-29 09:24,1,0,1,1,0,1,0
612,NO,,0,0,0,1,1,0,0
613,NO,,0,0,0,0,0,0,0
614,NO,,0,0,0,0,0,0,0
615,NO,,0,0,0,0,0,0,0
616,NO,,0,0,0,0,0,0,0
619,NO,,0,0,0,1,0,0,0
621,NO,,0,0,0,1,0,0,0
628,NO,,0,0,0,0,0,0,0
629,NO,,0,0,0,0,0,0,1
633,SI,2025-02-11 10:37,1,0,1,2,0,1,0
634,NO,,0,0,0,1,0,0,0
635,NO,,0,0,0,0,0,0,0
636,NO,,0,0,0,0,0,0,0
637,NO,,0,0,0,1,0,0,0
638,NO,,0,0,0,1,0,0,0
639,NO,,0,0,0,1,0,0,0
640,NO,,0,0,0,1,0,0,0
643,NO,,0,0,0,0,0,0,0
644,NO,,0,0,0,0,0,0,1
645,NO,,1,0,1,1,0,1,0
686,NO,,1,0,1,1,0,1,0
